category,current_price,stock_remaining,weekly_sales,day,month,weekend,recommended_price
Snacks,320.95,285,10,Monday,November,0,288.86
Fruits,338.12,387,1,Sunday,June,1,304.31
Frozen,39.07,456,44,Wednesday,August,0,35.16
Snacks,266.45,321,98,Sunday,May,1,298.42
Bakery,34.89,208,1,Sunday,January,1,31.4
Frozen,464.77,424,15,Thursday,November,0,418.29
Bakery,333.4,100,11,Thursday,July,0,300.06
Frozen,20.21,355,22,Wednesday,May,0,18.19
Household,194.54,238,90,Friday,February,0,204.27
Vegetables,51.46,110,30,Sunday,December,1,51.46
Frozen,434.74,500,58,Wednesday,August,0,434.74
Household,425.01,186,34,Thursday,January,0,425.01
Frozen,282.73,138,100,Tuesday,July,0,316.66
Dairy,192.63,121,112,Friday,September,0,215.75
Beverages,408.31,159,78,Saturday,October,1,428.73
Frozen,298.31,194,93,Monday,September,0,334.11
Bakery,261.81,388,41,Friday,September,0,261.81
Dairy,151.34,149,82,Monday,April,0,158.91
Frozen,490.75,481,40,Friday,August,0,441.68
Personal Care,173.49,71,103,Saturday,July,1,194.31
Bakery,454.83,451,31,Sunday,August,1,409.35
Dairy,434.31,81,84,Saturday,October,1,486.43
Snacks,440.8,308,83,Saturday,May,1,462.84
Personal Care,115.57,482,9,Saturday,March,1,104.01
Bakery,397.63,141,109,Saturday,June,1,445.35
Household,417.39,311,79,Friday,January,0,438.26
Dairy,242.98,176,52,Thursday,September,0,242.98
Fruits,74.25,128,8,Thursday,November,0,66.83
Snacks,471.16,179,58,Sunday,September,1,494.72
Snacks,226.61,38,83,Saturday,June,1,253.8
Bakery,482.81,27,37,Monday,April,0,482.81
Frozen,247.98,248,49,Thursday,October,0,247.98
Household,404.23,337,89,Saturday,April,1,424.44
Beverages,362.56,68,35,Sunday,October,1,362.56
Frozen,244.93,240,11,Friday,July,0,220.44
Fruits,163.67,400,58,Friday,February,0,163.67
Beverages,24.75,310,40,Wednesday,May,0,24.75
Dairy,462.06,276,91,Friday,December,0,485.16
Personal Care,452.06,105,72,Saturday,September,1,474.66
Beverages,194.76,302,58,Thursday,October,0,194.76
Personal Care,478.42,121,87,Thursday,July,0,535.83
Fruits,142.07,280,67,Thursday,September,0,149.17
Frozen,305.24,5,67,Sunday,August,1,320.5
Vegetables,217.7,290,117,Monday,May,0,243.82
Bakery,274.22,123,42,Friday,January,0,274.22
Personal Care,308.85,352,37,Sunday,May,1,308.85
Personal Care,238.57,96,59,Monday,August,0,250.5
Beverages,187.53,140,44,Saturday,March,1,187.53
Fruits,284.75,33,8,Friday,June,0,256.28
Personal Care,235.43,333,21,Friday,August,0,211.89
Personal Care,453.37,234,41,Monday,October,0,453.37
Snacks,309.37,477,33,Thursday,January,0,278.43
Snacks,229.93,87,72,Monday,April,0,241.43
Household,212.81,487,77,Friday,December,0,223.45
Bakery,341.22,10,72,Saturday,November,1,382.17
Household,272.12,246,59,Monday,December,0,285.73
Fruits,185.53,55,25,Friday,November,0,185.53
Snacks,420.64,308,81,Tuesday,June,0,441.67
Frozen,484.52,232,108,Friday,August,0,542.66
Personal Care,388.87,415,51,Sunday,April,1,388.87
Bakery,383.91,246,100,Thursday,February,0,429.98
Vegetables,207.6,209,53,Saturday,August,1,217.98
Vegetables,211.47,207,116,Tuesday,April,0,236.85
Vegetables,202.24,406,69,Monday,April,0,202.24
Dairy,469.84,73,96,Sunday,July,1,526.22
Beverages,158.49,420,79,Friday,July,0,166.41
Personal Care,23.34,130,52,Thursday,June,0,24.51
Personal Care,287.84,232,4,Sunday,June,1,259.06
Snacks,203.13,138,103,Tuesday,May,0,227.51
Household,150.76,68,14,Saturday,August,1,150.76
Frozen,93.49,464,70,Saturday,January,1,98.16
Bakery,353.31,443,68,Friday,April,0,353.31
Personal Care,459.77,84,69,Monday,January,0,482.76
Beverages,413.18,182,32,Sunday,July,1,413.18
Household,22.68,325,46,Thursday,September,0,22.68
Frozen,313.31,307,6,Monday,February,0,281.98
Beverages,439.51,97,12,Sunday,June,1,395.56
Beverages,405.01,8,35,Monday,June,0,405.01
Fruits,170.26,354,35,Saturday,March,1,170.26
Fruits,217.35,214,109,Monday,November,0,243.43
Beverages,245.38,417,118,Saturday,October,1,274.83
Snacks,404.12,116,31,Sunday,June,1,404.12
Frozen,469.94,316,40,Tuesday,January,0,469.94
Bakery,280.19,132,102,Wednesday,August,0,313.81
Frozen,481.95,43,54,Sunday,December,1,506.05
Beverages,443.27,431,107,Saturday,June,1,496.46
Dairy,368.37,145,9,Monday,April,0,331.53
Bakery,271.97,33,82,Saturday,August,1,304.61
Snacks,337.5,327,53,Wednesday,March,0,337.5
Snacks,135.26,220,48,Saturday,June,1,135.26
Personal Care,220.45,33,17,Sunday,November,1,220.45
Dairy,117.99,389,70,Wednesday,December,0,123.89
Frozen,232.93,89,56,Wednesday,May,0,244.58
Dairy,47.3,309,106,Sunday,September,1,52.98
Beverages,355.63,262,115,Friday,February,0,398.31
Personal Care,343.03,424,43,Tuesday,June,0,343.03
Personal Care,414.52,176,81,Saturday,July,1,435.25
Beverages,416.41,273,86,Sunday,July,1,437.23
Dairy,253.29,262,11,Sunday,April,1,227.96
Vegetables,149.03,365,59,Sunday,June,1,149.03
Bakery,129.98,392,33,Sunday,January,1,116.98
Fruits,339.6,317,12,Friday,December,0,305.64
Household,19.04,358,113,Friday,March,0,21.32
Personal Care,35.38,178,86,Wednesday,May,0,37.15
Frozen,359.08,40,17,Monday,July,0,359.08
Dairy,334.32,331,56,Monday,February,0,334.32
Household,387.94,233,28,Saturday,August,1,387.94
Beverages,170.82,405,1,Tuesday,February,0,153.74
Household,272.22,194,40,Tuesday,October,0,272.22
Personal Care,143.02,427,98,Tuesday,September,0,150.17
Dairy,347.1,131,87,Monday,January,0,388.75
Beverages,392.02,375,97,Tuesday,February,0,411.62
Household,467.7,25,61,Friday,August,0,491.09
Snacks,17.4,437,44,Saturday,April,1,17.4
Dairy,426.07,123,98,Wednesday,November,0,477.2
Snacks,473.34,382,80,Tuesday,July,0,497.01
Beverages,22.3,170,88,Wednesday,December,0,24.98
Household,356.36,481,119,Saturday,July,1,399.12
Beverages,445.18,155,78,Thursday,June,0,467.44
Frozen,400.36,376,119,Thursday,September,0,448.4
Snacks,418.81,415,30,Friday,April,0,376.93
Personal Care,111.69,16,75,Saturday,June,1,125.09
Bakery,485.84,259,66,Wednesday,August,0,510.13
Vegetables,225.55,472,24,Sunday,September,1,203.0
Dairy,342.64,290,44,Thursday,March,0,342.64
Vegetables,128.7,229,67,Tuesday,January,0,135.13
Bakery,284.82,288,56,Sunday,June,1,284.82
Vegetables,153.28,388,102,Saturday,December,1,171.67
Dairy,417.96,386,38,Wednesday,July,0,376.16
Beverages,337.96,348,96,Thursday,November,0,354.86
Fruits,11.74,108,117,Tuesday,August,0,13.15
Bakery,470.25,414,82,Friday,August,0,493.76
Household,265.0,422,43,Monday,October,0,265.0
Vegetables,436.64,341,17,Monday,August,0,392.98
Household,444.17,340,117,Tuesday,January,0,497.47
Personal Care,206.19,458,75,Monday,August,0,216.5
Personal Care,112.0,11,81,Thursday,May,0,125.44
Vegetables,133.18,254,25,Friday,March,0,119.86
Dairy,83.03,323,102,Wednesday,May,0,92.99
Dairy,344.21,121,82,Monday,October,0,361.42
Fruits,49.55,278,84,Friday,December,0,52.03
Dairy,69.19,93,8,Sunday,April,1,62.27
Frozen,249.27,93,79,Saturday,November,1,279.18
Bakery,370.14,317,104,Saturday,May,1,414.56
Beverages,447.67,43,82,Sunday,July,1,501.39
Frozen,334.52,141,62,Monday,January,0,351.25
Fruits,350.25,113,45,Tuesday,August,0,350.25
Household,215.95,70,90,Saturday,January,1,241.86
Vegetables,131.5,489,88,Sunday,April,1,138.08
Dairy,329.2,39,95,Thursday,February,0,368.7
Vegetables,118.39,47,43,Tuesday,October,0,118.39
Dairy,39.11,489,64,Wednesday,February,0,39.11
Frozen,439.38,365,90,Wednesday,April,0,461.35
Dairy,279.42,13,103,Wednesday,March,0,312.95
Vegetables,430.09,121,13,Thursday,August,0,387.08
Beverages,114.01,436,39,Thursday,December,0,102.61
Personal Care,492.89,243,15,Monday,July,0,443.6
Dairy,397.46,32,56,Thursday,November,0,417.33
Snacks,250.81,233,68,Friday,October,0,263.35
Beverages,45.48,63,70,Monday,January,0,47.75
Dairy,234.97,413,78,Monday,September,0,246.72
Personal Care,240.75,415,107,Friday,December,0,269.64
Dairy,365.94,336,13,Thursday,January,0,329.35
Household,386.02,139,60,Saturday,November,1,405.32
Frozen,372.7,277,81,Wednesday,August,0,391.33
Household,230.43,11,114,Tuesday,December,0,258.08
Snacks,205.25,237,112,Saturday,June,1,229.88
Personal Care,386.42,478,78,Monday,January,0,405.74
Snacks,373.72,483,62,Friday,May,0,373.72
Vegetables,360.95,206,41,Tuesday,April,0,360.95
Dairy,273.64,148,41,Sunday,April,1,273.64
Snacks,139.64,109,4,Wednesday,October,0,125.68
Vegetables,95.31,404,60,Sunday,January,1,95.31
Dairy,21.49,202,99,Thursday,June,0,24.07
Household,138.33,178,26,Sunday,December,1,138.33
Frozen,404.42,405,92,Monday,July,0,424.64
Snacks,269.21,175,11,Monday,August,0,242.29
Beverages,411.9,325,26,Monday,April,0,370.71
Household,258.41,46,61,Sunday,March,1,271.33
Frozen,478.76,351,32,Sunday,January,1,478.76
Vegetables,385.67,28,101,Saturday,May,1,431.95
Vegetables,467.28,432,105,Saturday,November,1,523.35
Dairy,272.28,354,66,Saturday,July,1,285.89
Bakery,62.58,396,48,Friday,January,0,62.58
Personal Care,159.23,451,30,Monday,July,0,143.31
Household,343.9,399,60,Thursday,March,0,343.9
Bakery,58.96,228,14,Saturday,July,1,53.06
Vegetables,61.79,290,68,Monday,November,0,64.88
Fruits,499.63,461,55,Tuesday,June,0,499.63
Beverages,51.77,78,120,Thursday,August,0,57.98
Snacks,415.78,232,15,Monday,January,0,374.2
Fruits,384.77,480,51,Friday,July,0,384.77
Vegetables,325.94,141,54,Saturday,May,1,342.24
Bakery,152.5,454,31,Wednesday,October,0,137.25
Personal Care,219.59,292,43,Tuesday,November,0,219.59
Fruits,152.99,96,44,Tuesday,June,0,152.99
Fruits,227.69,195,69,Friday,October,0,239.07
Fruits,361.55,416,97,Tuesday,November,0,379.63
Household,53.33,321,116,Thursday,January,0,59.73
Snacks,365.32,499,86,Saturday,April,1,383.59
Fruits,372.4,16,13,Wednesday,November,0,372.4
Dairy,442.1,181,92,Saturday,January,1,495.15
Fruits,400.05,416,10,Wednesday,November,0,360.05
Bakery,314.28,485,49,Saturday,November,1,314.28
Snacks,79.01,30,84,Wednesday,August,0,88.49
Fruits,83.96,368,76,Thursday,February,0,88.16
Bakery,187.09,494,83,Friday,December,0,196.44
Household,346.48,323,110,Tuesday,April,0,388.06
Vegetables,389.05,47,51,Tuesday,November,0,408.5
Dairy,222.86,281,95,Sunday,September,1,249.6
Bakery,167.25,357,94,Thursday,July,0,175.61
Dairy,334.2,406,117,Tuesday,January,0,374.3
Vegetables,38.41,483,11,Saturday,September,1,34.57
Snacks,138.9,103,36,Sunday,October,1,138.9
Snacks,209.63,165,56,Friday,January,0,220.11
Vegetables,254.4,316,81,Sunday,April,1,267.12
Personal Care,248.75,151,116,Saturday,May,1,278.6
Bakery,354.88,238,50,Tuesday,February,0,354.88
Vegetables,250.48,149,31,Monday,October,0,250.48
Frozen,150.16,155,17,Friday,November,0,135.14
Snacks,78.63,271,31,Saturday,May,1,78.63
Vegetables,246.68,310,93,Saturday,March,1,259.01
Household,61.08,345,22,Friday,December,0,54.97
Dairy,282.68,179,34,Friday,March,0,282.68
Frozen,78.53,245,116,Tuesday,April,0,87.95
Bakery,432.16,96,44,Friday,February,0,432.16
Beverages,338.5,487,108,Friday,August,0,355.43
Frozen,491.57,115,35,Monday,May,0,491.57
Bakery,315.21,500,111,Saturday,May,1,353.04
Personal Care,460.81,240,55,Wednesday,December,0,460.81
Beverages,426.39,67,39,Thursday,October,0,426.39
Frozen,262.86,170,98,Monday,July,0,294.4
Beverages,42.6,190,10,Thursday,February,0,38.34
Snacks,192.07,337,19,Saturday,September,1,172.86
Personal Care,170.57,329,59,Monday,December,0,170.57
Household,13.48,12,46,Sunday,August,1,14.15
Personal Care,344.65,364,68,Monday,August,0,361.88
Frozen,215.56,274,59,Friday,May,0,215.56
Bakery,120.66,342,32,Monday,March,0,108.59
Fruits,223.5,254,69,Sunday,April,1,234.68
Snacks,181.57,147,70,Tuesday,November,0,190.65
Beverages,460.88,186,17,Wednesday,September,0,414.79
Vegetables,68.16,447,2,Saturday,April,1,61.34
Household,405.39,159,14,Thursday,July,0,364.85
Household,162.59,55,104,Wednesday,February,0,182.1
Bakery,325.92,297,84,Monday,January,0,342.22
Bakery,153.52,398,60,Sunday,April,1,153.52
Bakery,318.38,425,74,Friday,November,0,334.3
Snacks,470.92,161,67,Wednesday,May,0,494.47
Vegetables,491.79,364,2,Saturday,February,1,442.61
Beverages,234.76,38,18,Thursday,August,0,234.76
Bakery,458.12,198,83,Friday,June,0,481.03
Snacks,415.52,309,1,Sunday,October,1,373.97
Bakery,343.76,145,35,Thursday,October,0,343.76
Personal Care,16.86,270,1,Saturday,April,1,15.17
Dairy,398.73,498,113,Sunday,September,1,446.58
Beverages,91.62,326,6,Sunday,July,1,82.46
Personal Care,415.78,310,80,Sunday,July,1,436.57
Household,282.37,152,5,Tuesday,December,0,254.13
Snacks,237.65,129,42,Tuesday,July,0,237.65
Household,282.0,495,17,Friday,January,0,253.8
Beverages,126.62,450,50,Wednesday,July,0,126.62
Beverages,495.44,23,2,Friday,January,0,445.9
Household,294.01,14,86,Sunday,February,1,329.29
Vegetables,386.52,262,2,Monday,December,0,347.87
Snacks,10.02,171,119,Tuesday,August,0,11.22
Vegetables,85.35,498,51,Sunday,September,1,85.35
Fruits,318.52,403,93,Saturday,November,1,334.45
Beverages,35.05,387,25,Monday,August,0,31.54
Bakery,40.09,440,70,Monday,July,0,40.09
Beverages,470.37,105,112,Saturday,October,1,526.81
Fruits,195.45,332,51,Tuesday,February,0,195.45
Household,141.87,179,109,Saturday,February,1,158.89
Vegetables,39.16,2,108,Sunday,November,1,43.86
Beverages,232.63,69,80,Saturday,March,1,260.55
Personal Care,425.95,478,20,Saturday,September,1,383.36
Frozen,116.16,276,99,Sunday,April,1,130.1
Personal Care,296.04,361,113,Thursday,April,0,331.56
Vegetables,295.49,459,82,Sunday,September,1,310.26
Fruits,325.98,138,79,Wednesday,June,0,342.28
Bakery,35.98,73,99,Sunday,December,1,40.3
Snacks,470.67,185,47,Sunday,September,1,470.67
Vegetables,180.73,433,20,Friday,November,0,162.66
Snacks,138.65,336,28,Saturday,September,1,124.79
Bakery,444.87,42,85,Friday,January,0,498.25
Household,167.38,467,72,Thursday,June,0,167.38
Snacks,19.09,326,20,Friday,July,0,17.18
Bakery,143.22,300,77,Saturday,January,1,150.38
Personal Care,41.6,240,73,Wednesday,November,0,43.68
Beverages,329.52,96,60,Friday,September,0,346.0
Bakery,144.67,436,34,Friday,February,0,130.2
Bakery,285.59,316,16,Thursday,November,0,257.03
Beverages,261.53,173,101,Friday,May,0,292.91
Vegetables,371.95,139,76,Wednesday,January,0,390.55
Dairy,292.4,90,54,Tuesday,September,0,307.02
Vegetables,485.38,178,95,Friday,January,0,543.63
Fruits,331.83,11,107,Monday,September,0,371.65
Dairy,184.19,411,3,Monday,October,0,165.77
Fruits,149.76,108,98,Saturday,November,1,167.73
Household,228.72,352,19,Saturday,October,1,205.85
Beverages,171.79,420,116,Saturday,June,1,192.4
Frozen,255.11,360,89,Friday,May,0,267.87
Frozen,410.8,374,2,Monday,February,0,369.72
Household,350.34,288,15,Tuesday,April,0,315.31
Frozen,430.02,140,91,Tuesday,May,0,481.62
Personal Care,394.51,348,5,Monday,March,0,355.06
Household,66.88,355,6,Thursday,November,0,60.19
Fruits,453.03,158,89,Wednesday,July,0,507.39
Dairy,314.53,185,104,Thursday,December,0,352.27
Fruits,449.79,429,37,Friday,August,0,404.81
Fruits,151.53,198,32,Monday,November,0,151.53
Vegetables,114.19,226,17,Saturday,September,1,102.77
Dairy,472.91,49,110,Sunday,November,1,529.66
Dairy,28.11,354,107,Thursday,April,0,31.48
Personal Care,324.06,158,81,Sunday,November,1,340.26
Bakery,257.4,420,34,Sunday,March,1,231.66
Dairy,342.2,81,25,Monday,June,0,342.2
Fruits,439.06,234,32,Tuesday,July,0,439.06
Vegetables,389.57,385,24,Friday,August,0,350.61
Frozen,178.67,231,47,Saturday,June,1,178.67
Household,78.0,261,53,Friday,June,0,78.0
Frozen,439.63,185,4,Saturday,July,1,395.67
Frozen,141.01,496,65,Thursday,September,0,141.01
Beverages,332.34,159,112,Friday,August,0,372.22
Bakery,119.84,27,7,Tuesday,June,0,107.86
Household,137.98,329,34,Wednesday,April,0,124.18
Snacks,150.0,319,66,Wednesday,March,0,157.5
Personal Care,321.36,500,66,Wednesday,May,0,321.36
Fruits,12.97,419,16,Saturday,December,1,11.67
Personal Care,192.22,169,86,Saturday,July,1,215.29
Snacks,384.92,247,6,Thursday,October,0,346.43
Household,327.89,437,9,Friday,February,0,295.1
Frozen,327.68,102,69,Saturday,August,1,344.06
Household,330.93,179,42,Friday,May,0,330.93
Beverages,97.3,269,14,Saturday,April,1,87.57
Snacks,443.41,332,20,Wednesday,February,0,399.07
Fruits,425.1,456,60,Saturday,February,1,425.1
Bakery,264.7,441,14,Saturday,December,1,238.23
Frozen,226.33,402,59,Wednesday,April,0,226.33
Frozen,35.28,136,70,Friday,January,0,37.04
Vegetables,172.6,80,57,Monday,May,0,181.23
Snacks,345.38,294,99,Wednesday,August,0,386.83
Personal Care,499.42,106,82,Wednesday,August,0,524.39
Frozen,351.65,265,69,Friday,April,0,369.23
Vegetables,214.78,201,81,Saturday,February,1,225.52
Vegetables,336.0,413,59,Thursday,May,0,336.0
Household,266.52,29,70,Wednesday,April,0,279.85
Bakery,396.81,213,82,Wednesday,March,0,416.65
Bakery,453.54,229,108,Friday,December,0,507.96
Dairy,323.69,15,111,Wednesday,April,0,362.53
Bakery,75.74,215,3,Wednesday,June,0,68.17
Fruits,156.6,72,117,Saturday,September,1,175.39
Personal Care,463.95,319,48,Friday,August,0,463.95
Frozen,290.88,192,73,Sunday,February,1,305.42
Beverages,213.72,47,30,Monday,August,0,213.72
Vegetables,128.47,444,27,Monday,September,0,115.62
Snacks,180.79,471,40,Monday,March,0,162.71
Snacks,384.81,134,42,Friday,December,0,384.81
Beverages,108.89,416,48,Saturday,September,1,108.89
Dairy,482.66,93,37,Wednesday,June,0,482.66
Fruits,48.0,53,99,Thursday,March,0,53.76
Fruits,142.3,107,43,Monday,May,0,142.3
Beverages,262.02,211,26,Tuesday,August,0,262.02
Dairy,85.39,52,60,Wednesday,November,0,89.66
Dairy,73.56,381,10,Monday,July,0,66.2
Dairy,392.78,437,63,Thursday,April,0,392.78
Personal Care,144.16,107,36,Saturday,July,1,144.16
Dairy,98.91,495,114,Saturday,July,1,110.78
Snacks,130.36,188,51,Wednesday,February,0,130.36
Frozen,322.78,304,104,Friday,November,0,361.51
Fruits,28.49,88,43,Tuesday,February,0,28.49
Household,363.34,449,12,Wednesday,November,0,327.01
Snacks,474.08,438,112,Monday,August,0,530.97
Beverages,328.31,343,49,Friday,June,0,328.31
Dairy,138.99,382,102,Saturday,May,1,155.67
Vegetables,188.2,199,7,Saturday,March,1,169.38
Snacks,173.56,336,61,Tuesday,March,0,173.56
Personal Care,27.41,164,119,Saturday,June,1,30.7
Snacks,32.27,208,115,Monday,February,0,36.14
Snacks,310.28,3,35,Wednesday,November,0,310.28
Vegetables,457.24,70,61,Wednesday,November,0,480.1
Beverages,106.2,27,65,Thursday,January,0,111.51
Household,215.23,407,116,Saturday,April,1,241.06
Snacks,173.89,487,46,Thursday,April,0,156.5
Vegetables,191.61,285,9,Friday,March,0,172.45
Vegetables,137.71,108,79,Friday,August,0,144.6
Personal Care,269.64,200,75,Friday,January,0,283.12
Dairy,438.37,367,47,Thursday,December,0,438.37
Snacks,414.55,431,26,Friday,January,0,373.1
Fruits,315.64,377,17,Thursday,November,0,284.08
Frozen,10.47,345,37,Monday,May,0,10.47
Personal Care,233.42,466,48,Monday,February,0,233.42
Fruits,405.58,8,43,Thursday,November,0,425.86
Frozen,180.03,166,67,Friday,October,0,189.03
Dairy,326.31,166,69,Thursday,October,0,342.63
Fruits,434.02,384,92,Saturday,March,1,455.72
Beverages,108.96,149,24,Monday,May,0,108.96
Snacks,18.89,205,31,Saturday,February,1,18.89
Bakery,435.03,424,55,Sunday,October,1,435.03
Fruits,420.68,52,95,Sunday,April,1,471.16
Frozen,381.81,175,76,Monday,November,0,400.9
Bakery,424.11,368,19,Sunday,January,1,381.7
Beverages,278.32,56,18,Sunday,March,1,278.32
Snacks,87.28,211,87,Sunday,February,1,97.75
Personal Care,10.97,395,17,Saturday,May,1,9.87
Household,155.99,75,34,Saturday,October,1,155.99
Beverages,93.7,123,3,Tuesday,April,0,84.33
Beverages,389.26,29,2,Monday,February,0,350.33
Snacks,73.41,270,78,Tuesday,September,0,77.08
Beverages,139.73,121,43,Monday,November,0,139.73
Fruits,287.92,366,120,Tuesday,June,0,322.47
Snacks,381.88,310,42,Thursday,February,0,381.88
Fruits,498.74,95,76,Wednesday,December,0,523.68
Vegetables,144.65,377,63,Sunday,July,1,144.65
Personal Care,37.44,394,69,Sunday,October,1,39.31
Fruits,234.6,479,47,Tuesday,July,0,234.6
Bakery,453.5,2,71,Tuesday,January,0,476.18
Fruits,29.47,28,51,Tuesday,April,0,30.94
Frozen,36.83,249,25,Monday,December,0,33.15
Household,217.31,430,93,Tuesday,July,0,228.18
Bakery,250.04,478,118,Sunday,April,1,280.04
Frozen,101.64,75,38,Wednesday,October,0,101.64
Vegetables,290.37,363,58,Sunday,August,1,290.37
Snacks,276.51,380,24,Saturday,May,1,248.86
Snacks,473.71,80,9,Wednesday,July,0,426.34
Beverages,301.06,85,24,Tuesday,September,0,301.06
Snacks,106.43,370,101,Monday,April,0,111.75
Vegetables,470.02,167,23,Saturday,March,1,470.02
Snacks,175.55,15,50,Tuesday,August,0,184.33
Dairy,387.99,442,91,Wednesday,January,0,407.39
Bakery,499.35,154,10,Tuesday,May,0,449.42
Household,462.98,95,76,Tuesday,May,0,486.13
Household,200.06,346,4,Friday,November,0,180.05
Snacks,291.89,117,116,Sunday,December,1,326.92
Household,26.96,213,117,Tuesday,December,0,30.2
Snacks,106.34,489,59,Wednesday,February,0,106.34
Household,462.34,440,44,Friday,December,0,462.34
Snacks,111.54,268,58,Friday,November,0,111.54
Household,396.0,41,94,Sunday,October,1,443.52
Dairy,176.77,391,5,Friday,November,0,159.09
Personal Care,176.74,247,47,Friday,June,0,176.74
Dairy,259.3,95,45,Sunday,August,1,272.27
Beverages,120.25,380,90,Saturday,April,1,126.26
Dairy,12.78,3,72,Thursday,February,0,13.42
Vegetables,223.51,417,39,Friday,May,0,201.16
Frozen,343.82,146,60,Saturday,November,1,361.01
Household,92.41,318,13,Wednesday,September,0,83.17
Snacks,372.57,489,83,Thursday,June,0,391.2
Dairy,282.44,395,49,Friday,March,0,282.44
Beverages,234.46,481,111,Saturday,January,1,262.6
Beverages,173.14,67,87,Saturday,June,1,193.92
Personal Care,447.23,53,102,Monday,December,0,500.9
Dairy,447.16,448,48,Wednesday,December,0,447.16
Frozen,97.19,156,10,Tuesday,July,0,87.47
Frozen,228.39,459,83,Friday,January,0,239.81
Personal Care,475.34,379,41,Friday,July,0,475.34
Personal Care,247.1,128,26,Thursday,May,0,247.1
Beverages,422.27,432,99,Wednesday,April,0,443.38
Beverages,21.5,164,35,Sunday,December,1,21.5
Snacks,78.71,209,82,Monday,May,0,82.65
Snacks,156.2,31,90,Saturday,April,1,174.94
Fruits,44.89,77,114,Sunday,December,1,50.28
Personal Care,103.13,62,6,Friday,February,0,92.82
Household,341.15,480,53,Friday,April,0,341.15
Dairy,313.36,458,95,Wednesday,April,0,329.03
Bakery,376.25,96,21,Wednesday,March,0,376.25
Frozen,145.06,228,37,Thursday,September,0,145.06
Fruits,40.25,225,84,Saturday,November,1,42.26
Frozen,152.33,84,65,Thursday,November,0,159.95
Snacks,28.14,338,95,Monday,August,0,29.55
Vegetables,48.87,21,94,Monday,December,0,54.73
Dairy,63.48,151,108,Wednesday,September,0,71.1
Dairy,192.24,311,82,Wednesday,March,0,201.85
Bakery,65.11,261,62,Wednesday,December,0,68.37
Dairy,22.5,132,75,Monday,January,0,23.62
Dairy,225.27,358,25,Saturday,February,1,202.74
Personal Care,459.58,89,4,Wednesday,October,0,413.62
Snacks,17.98,491,54,Wednesday,January,0,17.98
Personal Care,51.94,38,8,Thursday,January,0,46.75
Personal Care,345.68,106,10,Monday,June,0,311.11
Household,395.06,112,12,Wednesday,December,0,355.55
Vegetables,261.65,282,41,Monday,July,0,261.65
Frozen,17.56,221,57,Sunday,June,1,18.44
Bakery,140.96,136,67,Tuesday,June,0,148.01
Bakery,172.74,11,73,Wednesday,February,0,181.38
Personal Care,362.49,477,59,Thursday,January,0,362.49
Beverages,41.87,399,30,Friday,July,0,37.68
Bakery,61.31,172,16,Monday,February,0,55.18
Frozen,95.34,372,61,Sunday,February,1,95.34
Personal Care,111.82,190,79,Tuesday,May,0,117.41
Bakery,27.52,54,83,Sunday,July,1,30.82
Household,15.1,131,90,Sunday,August,1,16.91
Beverages,474.05,179,28,Monday,December,0,474.05
Dairy,253.42,256,115,Monday,March,0,283.83
Beverages,13.38,75,42,Saturday,January,1,14.05
Vegetables,327.5,157,42,Sunday,December,1,327.5
Beverages,157.31,11,71,Friday,July,0,165.18
Dairy,372.45,220,87,Friday,March,0,391.07
Household,385.22,118,105,Tuesday,July,0,431.45
Dairy,58.58,8,119,Friday,December,0,65.61
Snacks,393.25,427,112,Friday,February,0,440.44
Personal Care,388.57,14,104,Friday,October,0,435.2
Vegetables,65.99,428,93,Sunday,October,1,69.29
Fruits,471.33,57,102,Friday,March,0,527.89
Beverages,263.01,230,110,Wednesday,December,0,294.57
Bakery,174.36,303,111,Wednesday,October,0,195.28
Beverages,402.26,136,82,Tuesday,May,0,422.37
Household,412.21,77,52,Thursday,May,0,432.82
Beverages,244.81,273,120,Saturday,July,1,274.19
Frozen,421.52,458,36,Friday,February,0,379.37
Bakery,28.39,36,99,Tuesday,October,0,31.8
Beverages,352.43,240,19,Sunday,May,1,317.19
Snacks,19.42,219,64,Thursday,August,0,20.39
Vegetables,124.45,198,59,Thursday,September,0,130.67
Bakery,15.67,2,66,Saturday,March,1,16.45
Personal Care,480.71,258,79,Sunday,April,1,504.75
Household,50.79,356,111,Tuesday,April,0,56.88
Bakery,496.75,233,74,Tuesday,January,0,521.59
Vegetables,98.34,128,102,Thursday,July,0,110.14
Bakery,416.03,199,83,Tuesday,January,0,436.83
Bakery,228.65,499,118,Tuesday,October,0,256.09
Household,369.41,348,18,Thursday,November,0,332.47
Frozen,38.39,350,72,Sunday,July,1,40.31
Frozen,390.18,45,109,Monday,September,0,437.0
Personal Care,10.81,123,80,Monday,December,0,11.35
Beverages,332.56,344,62,Thursday,August,0,332.56
Snacks,381.13,11,100,Friday,July,0,426.87
Snacks,445.11,106,28,Sunday,October,1,445.11
Household,31.58,201,90,Thursday,November,0,33.16
Fruits,219.82,406,92,Wednesday,June,0,230.81
Dairy,267.8,14,84,Monday,June,0,299.94
Dairy,342.6,28,71,Tuesday,January,0,359.73
Frozen,316.61,96,47,Monday,December,0,316.61
Vegetables,416.43,180,48,Thursday,May,0,416.43
Personal Care,401.99,300,74,Saturday,May,1,422.09
Bakery,423.67,134,28,Thursday,February,0,423.67
Frozen,33.6,7,90,Tuesday,October,0,37.63
Dairy,225.71,48,75,Monday,November,0,237.0
